Make,Model,Vehicle Model,Year,Mileage,Engine_Size,Fuel_Type,Transmission,Price
NISSAN,TIIDA 15M,NISSAN TIIDA 15M,2009,"59,000km","1,500cc",PETROL,AT,"1,200"
TOYOTA,RACTIS LEPICE,TOYOTA RACTIS LEPICE,2011,"63,000km","1,300cc",PETROL,AT,"2,400"
TOYOTA,RACTIS G HID SELECTION,TOYOTA RACTIS G HID SELECTION,2010,"88,000km","1,500cc",PETROL,AT,"2,200"
HONDA,INSIGHT G,HONDA INSIGHT G,2009,"135,000km","1,300cc",HYBRID(PETROL),AT,950
HONDA,INSIGHT G,HONDA INSIGHT G,2009,"197,000km","1,300cc",HYBRID(PETROL),AT,900
HONDA,INSIGHT L,HONDA INSIGHT L,2009,"126,000km","1,300cc",HYBRID(PETROL),AT,950
HONDA,INSIGHT G,HONDA INSIGHT G,2011,"54,000km","1,300cc",HYBRID(PETROL),AT,"1,010"
TOYOTA,PASSO X L PKG S,TOYOTA PASSO X L PKG S,2020,"25,000km","1,000cc",PETROL,AT,"4,000"
HONDA,FIT 13G L HONDA SENSING,HONDA FIT 13G L HONDA SENSING,2019,"71,000km","1,300cc",PETROL,AT,"5,700"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2010,"113,000km","1,500cc",PETROL,AT,"1,330"
HONDA,FREED G AERO HIGHWAY EDITION,HONDA FREED G AERO HIGHWAY EDITION,2010,"127,000km","1,500cc",PETROL,AT,"1,460"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2011,"86,000km","1,500cc",PETROL,AT,"1,340"
HONDA,VEZEL HYBRID Z HONDA SENSING,HONDA VEZEL HYBRID Z HONDA SENSING,2017,"112,000km","1,500cc",HYBRID(PETROL),AT,"8,160"
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2017,"105,000km","1,500cc",HYBRID(PETROL),AT,"8,150"
HONDA,VEZEL HYBRID RS HONDA SENSING,HONDA VEZEL HYBRID RS HONDA SENSING,2017,"148,000km","1,500cc",HYBRID(PETROL),AT,"8,200"
TOYOTA,PASSO X IRODORI,TOYOTA PASSO X IRODORI,2009,"70,000km","1,000cc",PETROL,AT,900
HONDA,LIFE G,HONDA LIFE G,2012,"138,000km",660cc,PETROL,AT,780
HONDA,FREED G L PKG,HONDA FREED G L PKG,2009,"172,000km","1,500cc",PETROL,AT,"1,170"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2009,"189,000km","1,500cc",PETROL,AT,"1,140"
HONDA,FREED G AERO JUST SELECTION,HONDA FREED G AERO JUST SELECTION,2009,"171,000km","1,500cc",PETROL,AT,"1,230"
HONDA,FREED G AERO L PKG,HONDA FREED G AERO L PKG,2009,"167,000km","1,500cc",PETROL,AT,"1,290"
HONDA,FREED G JUST SELECTION,HONDA FREED G JUST SELECTION,2009,"105,000km","1,500cc",PETROL,AT,"1,230"
NISSAN,XTRAIL AUTECH I PKG,NISSAN XTRAIL AUTECH I PKG,2019,"200,000km","1,997cc",PETROL,AT,"7,700"
HONDA,LIFE DIVA SMART STYLE,HONDA LIFE DIVA SMART STYLE,2011,"109,000km",660cc,PETROL,AT,830
HONDA,FREED G L PACKAGE,HONDA FREED G L PACKAGE,2008,"183,000km","1,500cc",PETROL,AT,"1,100"
HONDA,VEZEL HYBRID X HONDA SENSING,HONDA VEZEL HYBRID X HONDA SENSING,2020,"126,000km","1,500cc",HYBRID(PETROL),AT,"10,400"
TOYOTA,ALPHARD 2.5X,TOYOTA ALPHARD 2.5X,2020,"76,000km","2,500cc",PETROL,AT,"14,840"
LEXUS,NX NX200T I PKG,LEXUS NX NX200T I PKG,2014,"180,000km","2,000cc",PETROL,AT,"10,100"
TOYOTA,ALPHARD 2.5S A PKG  TYPE BLACK,TOYOTA ALPHARD 2.5S A PKG  TYPE BLACK,2017,"133,000km","2,500cc",PETROL,AT,"10,970"
HONDA,LIFE G,HONDA LIFE G,2011,"97,000km",660cc,PETROL,AT,760
TOYOTA,ALPHARD S C PKG,TOYOTA ALPHARD S C PKG,2016,"145,000km","2,500cc",PETROL,AT,"11,940"
HONDA,FIT G SMART STYLE EDITION,HONDA FIT G SMART STYLE EDITION,2009,"133,000km","1,300cc",PETROL,AT,"1,650"
MAZDA,CX5 XD,MAZDA CX5 XD,2013,"122,000km","2,200cc",DIESEL,AT,"3,220"
MAZDA,CX5 XD L PKG,MAZDA CX5 XD L PKG,2015,"220,000km","2,200cc",DIESEL,AT,"3,480"
HONDA,FIT 1.3A,HONDA FIT 1.3A,2006,"99,000km","1,300cc",PETROL,AT,"1,500"
MAZDA,DEMIO 13C V SMART EDITION 2,MAZDA DEMIO 13C V SMART EDITION 2,2014,"106,000km","1,300cc",PETROL,AT,"1,950"
MAZDA,DEMIO 13C V,MAZDA DEMIO 13C V,2007,"73,000km","1,300cc",PETROL,AT,"1,350"
NISSAN,DAYZ B,NISSAN DAYZ B,2019,"73,000km",660cc,PETROL,AT,"3,010"
TOYOTA,AQUA L,TOYOTA AQUA L,2020,"202,000km","1,500cc",HYBRID(PETROL),AT,"4,240"
TOYOTA,AQUA L,TOYOTA AQUA L,2017,"110,000km","1,500cc",HYBRID(PETROL),AT,"3,690"
TOYOTA,AQUA S,TOYOTA AQUA S,2017,"141,000km","1,500cc",HYBRID(PETROL),AT,"3,700"
NISSAN,WINGROAD 15B,NISSAN WINGROAD 15B,2015,"169,000km","1,500cc",PETROL,AT,"1,420"
NISSAN,SYLPHY S,NISSAN SYLPHY S,2016,"75,000km","1,800cc",PETROL,AT,"3,020"
HONDA,SHUTTLE HYBRID X,HONDA SHUTTLE HYBRID X,2017,"142,000km","1,500cc",HYBRID(PETROL),AT,"4,280"
TOYOTA,PREMIO F,TOYOTA PREMIO F,2015,"189,000km","1,500cc",PETROL,AT,"7,020"
TOYOTA,MARK X 250G,TOYOTA MARK X 250G,2007,"55,000km","2,500cc",PETROL,AT,"1,790"
TOYOTA,CROWN ROYAL SALOON,TOYOTA CROWN ROYAL SALOON,2007,"209,000km","3,000cc",PETROL,AT,"1,880"
TOYOTA,CROWN ROYAL SALOON,TOYOTA CROWN ROYAL SALOON,2004,"89,000km","2,500cc",PETROL,AT,"1,780"
TOYOTA,CROWN ATHLETE,TOYOTA CROWN ATHLETE,2004,"186,000km","2,500cc",PETROL,AT,"2,380"
TOYOTA,COROLLA AXIO X,TOYOTA COROLLA AXIO X,2017,"23,000km","1,500cc",PETROL,AT,"6,780"
MERCEDES,C CLASS C200 AVANTGARDE AMG LINE,MERCEDES C CLASS C200 AVANTGARDE AMG LINE,2014,"59,000km","2,000cc",PETROL,AT,"8,910"
TOYOTA,ALLION A15 STANDARD PKG,TOYOTA ALLION A15 STANDARD PKG,2005,"113,000km","1,500cc",PETROL,AT,"3,590"
HONDA,FIT G F PACKAGE,HONDA FIT G F PACKAGE,2009,"124,000km","1,300cc",PETROL,AT,"1,810"
HONDA,FIT G HIGHWAY EDITION,HONDA FIT G HIGHWAY EDITION,2009,"215,000km","1,300cc",PETROL,AT,"1,700"
ISUZU,ELF TRUCK 3.0t FLAT BODY,ISUZU ELF TRUCK 3.0t FLAT BODY,2009,"332,000km","2,990cc",DIESEL,6MT,"7,480"
ISUZU,ELF TRUCK 2.0t DUMP,ISUZU ELF TRUCK 2.0t DUMP,2007,"19,000km","4,770cc",DIESEL,MT,"11,880"
ISUZU,ELF TRUCK 3.0t FLAT BODY,ISUZU ELF TRUCK 3.0t FLAT BODY,2014,"382,000km","2,990cc",DIESEL,6MT,"8,200"
MITSUBISHI,FIGHTER 3.5t DUMP,MITSUBISHI FIGHTER 3.5t DUMP,2012,"154,000km","7,540cc",DIESEL,6MT,"13,800"
NISSAN,TEANA XL,NISSAN TEANA XL,2015,"86,000km","2,500cc",PETROL,AT,"2,490"
MITSUBISHI,FIGHTER 3.5t DUMP,MITSUBISHI FIGHTER 3.5t DUMP,2012,"263,000km","7,540cc",DIESEL,6MT,"13,120"
MITSUBISHI,FIGHTER 2.9t ALUMINUM WING,MITSUBISHI FIGHTER 2.9t ALUMINUM WING,2006,"87,000km","7,540cc",DIESEL,6MT,"10,600"
MITSUBISHI,FIGHTER 2.85t ALUMINUM WING,MITSUBISHI FIGHTER 2.85t ALUMINUM WING,2005,"616,000km","7,540cc",DIESEL,6MT,"10,600"
MITSUBISHI,FIGHTER 3.55t DUMP,MITSUBISHI FIGHTER 3.55t DUMP,2011,"166,000km","7,540cc",DIESEL,6MT,"13,290"
TOYOTA,TOYOACE TRUCK 1.5t FLAT BODY,TOYOTA TOYOACE TRUCK 1.5t FLAT BODY,1988,"153,000km","2,440cc",DIESEL,MT,"6,480"
TOYOTA,NOAH HYBRID G,TOYOTA NOAH HYBRID G,2014,"154,000km","1,800cc",HYBRID(PETROL),AT,"4,520"
TOYOTA,DYNA 2.0t FLAT BODY,TOYOTA DYNA 2.0t FLAT BODY,2005,"273,000km","4,000cc",DIESEL,MT,"8,650"
ISUZU,ELF TRUCK 2.0t FLAT BODY,ISUZU ELF TRUCK 2.0t FLAT BODY,2004,"395,000km","4,770cc",DIESEL,MT,"4,950"
HONDA,FIT G,HONDA FIT G,2009,"107,000km","1,300cc",PETROL,AT,"1,800"
MITSUBISHI,CANTER TRUCK 2.0t BOX,MITSUBISHI CANTER TRUCK 2.0t BOX,2009,"541,000km","3,000cc",DIESEL,MT,"6,970"
MITSUBISHI,CANTER TRUCK 2.0t DUMP HIGH DECK,MITSUBISHI CANTER TRUCK 2.0t DUMP HIGH DECK,2007,"176,000km","2,970cc",DIESEL,MT,"11,290"
HINO,RANGER 3.75t DUMP,HINO RANGER 3.75t DUMP,2005,"161,000km","4,720cc",DIESEL,6MT,"11,200"
NISSAN,ATLAS TRUCK 1.15t W CAB,NISSAN ATLAS TRUCK 1.15t W CAB,2015,"186,000km","2,950cc",DIESEL,MT,"5,930"
NISSAN,ATLAS TRUCK 2.0t FLAT BODY,NISSAN ATLAS TRUCK 2.0t FLAT BODY,1993,"150,000km","4,210cc",DIESEL,MT,"5,180"
HINO,DUTRO 1.85t FLAT BODY,HINO DUTRO 1.85t FLAT BODY,2010,"263,000km","4,000cc",DIESEL,MT,"7,950"
TOYOTA,DYNA 2.0t FLAT BODY,TOYOTA DYNA 2.0t FLAT BODY,2001,"297,000km","4,610cc",DIESEL,MT,"8,950"
MITSUBISHI,CANTER TRUCK 2.0t DUMP,MITSUBISHI CANTER TRUCK 2.0t DUMP,2013,"223,000km","2,990cc",DIESEL,MT,"9,800"
MITSUBISHI,CANTER TRUCK 2.0t DUMP,MITSUBISHI CANTER TRUCK 2.0t DUMP,2012,"272,000km","2,990cc",DIESEL,DUONIC,"8,600"
MITSUBISHI,CANTER TRUCK 1.5t FLAT BODY,MITSUBISHI CANTER TRUCK 1.5t FLAT BODY,2006,"150,000km","2,970cc",DIESEL,MT,"6,480"
TOYOTA,YARIS X,TOYOTA YARIS X,2021,"76,000km","1,000cc",PETROL,AT,"5,200"
TOYOTA,DYNA 2.0t FLAT BODY,TOYOTA DYNA 2.0t FLAT BODY,1985,"97,000km","2,970cc",DIESEL,MT,"8,000"
DAIHATSU,DELTA TRUCK 2.0t FLAT BODY,DAIHATSU DELTA TRUCK 2.0t FLAT BODY,2001,"314,000km","3,660cc",DIESEL,MT,"9,650"
MITSUBISHI,ROSA 14SEATER  WELCAB,MITSUBISHI ROSA 14SEATER  WELCAB,2018,"544,000km","2,990cc",DIESEL,DUONIC,"8,970"
NISSAN,NOTE X DIG-S,NISSAN NOTE X DIG-S,2016,"41,000km","1,200cc",PETROL,AT,"2,630"
